Front_End,Back_End,Machine_Learning,Android_Developer,Education
HTML/CSS,Java,R ,GO,B.E in Computer Engineering
HTML,Python,Java,Java,M.E in Computer Engineering
CSS,Ruby,Python,NoSql,Bachelor In Computer Engineering
JavaScript,. Net,C++,SQL,Bachelor in Computer Science
JavaScript,C++ ,Torch,Kotlin,Masters in Computer Engineering
jQuery,Perl ,Theano,Android Studio,Masters in Computer Science
Bootstrap,PHP,Tensorflow,Android SDK,Bachelor in Information Technology
Version Control/Git ,Postgres SQL,Swift AI,Material Design,Masters in Information Technology
 Sass,MySQL,Scikit-Learn,Python,B.I.T
LESS,MongoDB,Pybrain,Node.js,M.I.T
Stylus,Oracle  ,Keras,C#,Bachelor in Information Management
AngularJS,Redis,IBM Watson,JavaScript,B.I.M
ES6,SQL Server,Deeplearning4j,xml,Bachelor of Computer Science and Information Technology
Angular,Docker    ,,Firebase,Bsc Csit
React,Kubernetes,Linear Regression,SQLite,Masters of Computer Science and Information Technology
Vue.JS,Nginx,Logistic Regression,RDBMS,Msc Csit
Meteor,Node.js,Decision Trees,XCode,Bachelor of Computer Application
Node.JS,Apache  ,Random Forests,,Masters of Computer Application
Backbone.JS,Nginx,SVM,,B.C.A
Aurelia,IIS servers,K-Nearest Neighbors,,M.C.A
Chrome DevTools,Microsoft IIS,XGBoost,,Bachelor of Business Information
Agile/Scrum,REST API ,Clustering,,B.B.I.S
UI/UX,SOAP API,Neural Networks,,Bachelor of Computational Mathematics
TypeScript,Express.js,Naive Bayes,,Bachelors
ReactJS,Phoenix (Elixir),Apache Spark,,Masters
GitHub,Django,Hadoop,,Bachelor
es7,Ruby on Rails,SQL / NoSQL,,Master
photoshop,Laravel,numpy,,Bachelor of Computer Science
adobe illustrator,Flask,pandas,,Bachelor of Science in Computer Science
wordpress,ASP.NET Core,Pytorch,,B.S in Computer Science
jQuery,Spring MVC,OpenCV,,B.S of Computer Science
,CodeIgniter,NLTK,,Bsc in Computer Science
,CakePHP,BERT,,Bsc In Computer Science
,Symfony,LSTM  ,,
,Play Framework,CNN,,
,C#,caffe,,
,GitHub,mxnet,,
,microservices,Matplotlib,,
,Npm,AWS lambda,,
,Yarn,Matlab,,
,Graphql,,,
,Mobx,,,
,Redux,,,
,ORM,,,
,dynamodb,,,
,CICD,,,